concept_index,unique_id,concept,category_bottom_up,category_wordnet,category_manual,Percent_known,Concreteness (M),COCA word freq,SUBTLEX freq,categories_53,image-label_nameability_mean,image-label_consistency_mean,image-label_ratings-per-image_mean,property_manmade_mean,property_precious_mean,property_lives_mean,property_heavy_mean,property_natural_mean,property_moves_mean,property_grasp_mean,property_hold_mean,property_be-moved_mean,property_pleasant_mean,property_arousal_mean,property_arousal_work-time_mean
0,aardvark,aardvark,animal,animal,animal,1.0,4.68,28.0,21.0,animal|mammal,0.365694874,0.463137009,18.42857143,1.2632,4.6053,6.8421,4.7895,6.7105,6.9211,3.1579,3.1842,3.3158,4.3947,4.847826087,7732.586956999999
1,abacus,abacus,,,home decor,0.93,4.52,97.0,12.0,home decor,0.771798368,0.771798368,17.85714286,6.8718,4.1026,1.5128,3.359,2.2051,4.2308,5.5128,5.4359,5.6667,4.7436,4.081632653,7840.265306
2,accordion,accordion,musical instrument,musical instrument,musical instrument,0.97,4.86,735.0,67.0,musical instrument,0.903857991,0.903857991,17.92857143,6.75,4.5,1.5,5.0556,2.0,4.6944,4.8889,4.9167,5.0833,5.0556,4.423076923,4826.442308
3,acorn,acorn,,fruit,,1.0,4.96,692.0,37.0,,0.926932835,0.926932835,18.1875,1.2,4.2,5.0,1.4857,6.8286,2.7143,6.5714,6.7429,6.7429,5.1143,3.857142857,5820.285714
4,air_conditioner,air conditioner,,,electronic device,1.0,4.93,,0.0,electronic device|home appliance,0.773673626,0.769400122,18.61538462,6.8158,4.1579,1.2895,6.1842,1.3684,2.1842,3.3947,2.6316,2.6842,5.7368,4.47826087,4494.195652
5,air_mattress,air mattress,,,furniture,1.0,4.71,,0.0,furniture,0.630343534,0.621545143,17.61538462,6.5556,3.1111,1.1389,2.7778,1.3611,2.6111,4.8056,4.5556,5.6389,4.7222,4.163265306,7615.102040999999
6,air_pump,air pump,,,tool,0.96,4.81,,0.0,tool,0.355353457,0.38931657,18.0,6.3947,3.0,1.3684,2.7632,1.6053,4.0,6.2105,6.1316,6.2105,4.3684,4.347826087,7159.782609000001
7,airbag,airbag,part of car,container,part of car,0.96,4.81,439.0,20.0,part of car,0.872060436,0.872060436,18.0625,6.8649,4.4324,1.3243,2.8108,1.4324,4.1622,3.5676,3.4054,3.5946,3.8108,4.625,5461.895833
8,airboat,airboat,,,vehicle,0.93,4.82,118.0,4.0,vehicle|watercraft,0.384992128,0.42232906,17.61538462,6.4054,3.5135,1.2432,6.8108,1.4865,6.6486,3.0,1.7027,4.7838,5.027,4.152173913,7119.326087
9,aircraft_carrier,aircraft carrier,,vehicle,vehicle,1.0,4.93,,0.0,vehicle|watercraft,0.5241042,0.536891924,17.26086957,6.7222,4.5833,1.2778,6.8333,1.3056,6.6667,2.0833,1.1944,2.7778,4.1667,3.914893617,6383.085106
