image_index,image,unique_id,concept,recognizability,recognizability_homonyms,recognizability_close,nameability_naming-consistency,nameability,memorability_cr,relative_image_path,concept_index
0,aardvark/aardvark_01b.jpg,aardvark,aardvark,0.666666667,0.666666667,0.666666667,0.411764706,0.411764706,0.825,images/aardvark/aardvark_01b.jpg,0
1,aardvark/aardvark_02s.jpg,aardvark,aardvark,0.363636364,0.363636364,0.363636364,0.5,0.4,0.8,images/aardvark/aardvark_02s.jpg,0
2,aardvark/aardvark_03s.jpg,aardvark,aardvark,0.615384615,0.615384615,0.615384615,0.333333333,0.333333333,0.87804878,images/aardvark/aardvark_03s.jpg,0
3,aardvark/aardvark_04s.jpg,aardvark,aardvark,0.4375,0.4375,0.4375,0.588235294,0.411764706,0.731707317,images/aardvark/aardvark_04s.jpg,0
4,aardvark/aardvark_05s.jpg,aardvark,aardvark,0.722222222,0.722222222,0.722222222,0.444444444,0.333333333,0.825,images/aardvark/aardvark_05s.jpg,0
5,aardvark/aardvark_06s.jpg,aardvark,aardvark,0.4,0.4,0.4,0.25,0.25,0.619047619,images/aardvark/aardvark_06s.jpg,0
6,aardvark/aardvark_07s.jpg,aardvark,aardvark,0.538461538,0.538461538,0.538461538,0.368421053,0.368421053,0.722222222,images/aardvark/aardvark_07s.jpg,0
7,aardvark/aardvark_08s.jpg,aardvark,aardvark,0.533333333,0.533333333,0.533333333,0.421052632,0.368421053,0.794871795,images/aardvark/aardvark_08s.jpg,0
8,aardvark/aardvark_09s.jpg,aardvark,aardvark,0.285714286,0.285714286,0.285714286,0.578947368,0.263157895,0.75,images/aardvark/aardvark_09s.jpg,0
9,aardvark/aardvark_10s.jpg,aardvark,aardvark,0.333333333,0.333333333,0.333333333,0.421052632,0.368421053,0.80952381,images/aardvark/aardvark_10s.jpg,0
10,aardvark/aardvark_11s.jpg,aardvark,aardvark,0.384615385,0.384615385,0.384615385,0.5,0.5,0.815789474,images/aardvark/aardvark_11s.jpg,0
11,aardvark/aardvark_12s.jpg,aardvark,aardvark,0.538461538,0.538461538,0.538461538,0.5,0.5,0.837209302,images/aardvark/aardvark_12s.jpg,0
12,aardvark/aardvark_13s.jpg,aardvark,aardvark,0.538461538,0.538461538,0.538461538,0.5,0.333333333,0.682926829,images/aardvark/aardvark_13s.jpg,0
13,aardvark/aardvark_14s.jpg,aardvark,aardvark,0.333333333,0.333333333,0.333333333,0.666666667,0.277777778,0.825,images/aardvark/aardvark_14s.jpg,0
14,abacus/abacus_01b.jpg,abacus,abacus,0.857142857,0.857142857,0.857142857,0.5,0.5,0.648648649,images/abacus/abacus_01b.jpg,1
15,abacus/abacus_02s.jpg,abacus,abacus,0.769230769,0.769230769,0.769230769,0.944444444,0.944444444,0.785714286,images/abacus/abacus_02s.jpg,1
16,abacus/abacus_03s.jpg,abacus,abacus,0.769230769,0.769230769,0.769230769,0.842105263,0.842105263,0.780487805,images/abacus/abacus_03s.jpg,1
17,abacus/abacus_04s.jpg,abacus,abacus,0.631578947,0.631578947,0.631578947,0.777777778,0.777777778,0.825,images/abacus/abacus_04s.jpg,1
18,abacus/abacus_05s.jpg,abacus,abacus,0.9,0.9,0.9,0.833333333,0.833333333,0.87804878,images/abacus/abacus_05s.jpg,1
19,abacus/abacus_06s.jpg,abacus,abacus,1.0,1.0,1.0,0.764705882,0.764705882,0.897435897,images/abacus/abacus_06s.jpg,1
