concept_id,concept_name,unique_id,num_images
0,aardvark,aardvark,15
1,abacus,abacus,15
2,accordion,accordion,15
3,acorn,acorn,17
4,air conditioner,air_conditioner,14
5,air mattress,air_mattress,14
6,air pump,air_pump,14
7,airbag,airbag,17
8,airboat,airboat,14
9,aircraft carrier,aircraft_carrier,24
10,airplane,airplane,13
11,album,album,17
12,alligator,alligator,15
13,almond,almond,14
14,aloe,aloe,13
15,alpaca,alpaca,16
16,altar,altar,19
17,aluminum foil,aluminum_foil,16
18,amber,amber,13
19,ambulance,ambulance,14
20,amplifier,amplifier,17
21,anchor,anchor,15
22,ankle,ankle,13
23,anklet,anklet,13
24,ant,ant,13
25,anteater,anteater,13
26,antelope,antelope,13
27,antenna,antenna,13
28,anvil,anvil,14
29,appetizer,appetizer,30
30,apple,apple,13
31,apple tree,apple_tree,13
32,applesauce,applesauce,17
33,apron,apron,14
34,aquarium,aquarium,13
35,arch,arch,13
36,arm,arm,14
37,armor,armor,15
38,arrow,arrow,16
39,artichoke,artichoke,13
40,arugula,arugula,14
41,ashtray,ashtray,15
42,asparagus,asparagus,13
43,avocado,avocado,17
44,awning,awning,14
45,axe,axe,15
46,baby,baby,36
47,backdrop,backdrop,15
48,backgammon,backgammon,14
49,backpack,backpack,14
50,backscratcher,backscratcher,21
51,bacon,bacon,19
52,badge,badge,14
53,badger,badger,24
54,bag,bag,17
55,bagel,bagel,25
56,bagpipe,bagpipe,16
57,baklava,baklava,17
58,balance beam,balance_beam,14
59,ball,ball,17
60,balloon,balloon,21
61,ballot box,ballot_box,17
62,bamboo,bamboo,17
63,banana,banana,14
64,banana peel,banana_peel,18
65,banana split,banana_split,16
66,bandage,bandage,13
67,bandanna,bandanna,13
68,banjo,banjo,17
69,bank,bank,14
70,banner,banner,14
71,barbed wire,barbed_wire,18
72,barbell,barbell,13
73,barcode,barcode,15
74,bark,bark,23
75,barnacle,barnacle,13
76,barrel,barrel,20
77,barrette,barrette,13
78,baseball,baseball,19
79,baseball bat,baseball_bat,13
80,baseball glove,baseball_glove,20
81,basil,basil,15
82,basket,basket,13
83,basketball,basketball,14
84,basketball hoop,basketball_hoop,13
85,bassinet,bassinet,17
86,bassoon,bassoon,20
87,bat,bat1,19
88,bat,bat2,16
89,bathmat,bathmat,14
90,bathrobe,bathrobe,22
91,bathtub,bathtub,25
92,baton,baton1,17
93,baton,baton2,14
94,baton,baton3,18
95,baton,baton4,19
96,batter,batter,13
97,battery,battery,14
98,bazooka,bazooka,14
99,beachball,beachball,20
100,bead,bead,15
101,beaker,beaker,17
102,bean,bean,14
103,beanbag,beanbag,17
104,beanie,beanie,19
105,bear,bear,22
106,beard,beard,17
107,beaver,beaver,18
108,bed,bed,23
109,bedpan,bedpan,14
110,bedpost,bedpost,16
111,bee,bee,28
112,beehive,beehive,14
113,beer,beer,17
114,beet,beet,16
115,beetle,beetle,16
116,bell,bell,18
117,bell pepper,bell_pepper,15
118,belt,belt,15
119,belt buckle,belt_buckle,18
120,bench,bench,17
121,berry,berry,13
122,bib,bib,16
123,bike,bike,24
124,bikini,bikini,13
125,bin,bin,15
126,binder,binder,25
127,binoculars,binoculars,13
128,bird,bird,24
129,birdbath,birdbath,16
130,birdcage,birdcage,13
131,birdhouse,birdhouse,13
132,birthday cake,birthday_cake,19
133,biscuit,biscuit,13
134,bison,bison,14
135,blackberry,blackberry,13
136,blanket,blanket,13
137,blazer,blazer,16
138,blender,blender,15
139,blimp,blimp,13
140,blind,blind,27
141,blinder,blinder,14
142,blindfold,blindfold,19
143,block,block,16
144,blouse,blouse,17
145,blower,blower,17
146,blowfish,blowfish,17
147,blowgun,blowgun,14
148,blowtorch,blowtorch,15
149,blueberry,blueberry,13
150,boa,boa,16
