model,triplet_set,num_triplets,satisfaction_rate,margin_satisfaction_rate,violation_rate,mean_similarity_margin,median_similarity_margin,mean_positive_similarity,mean_negative_similarity,mean_triplet_hinge_loss,p05_similarity_margin,p95_similarity_margin,human_similarity_gap_mean,human_positive_similarity_mean,human_negative_similarity_mean
baseline,real_train_triplets,370800,0.8516235167206041,0.29570118662351674,0.1483764832793959,0.13928598165512085,0.11693944036960602,0.34384575486183167,0.20455971360206604,0.09637948870658875,-0.06336490139365196,0.4157968923449515,0.7609410056583022,0.7765000986188633,0.015559092960561247
baseline,shuffled_train_triplets,370800,0.5324946062567422,0.07984088457389428,0.46750539374325784,0.010137748904526234,0.008048627525568008,0.255633145570755,0.24549540877342224,0.19753219187259674,-0.2222704216837883,0.2475610740482807,0.7609435908539978,0.7764981740458908,0.015554583191892903
v1_human,real_train_triplets,370800,0.8341423948220065,0.2733522114347357,0.16585760517799353,0.12864863872528076,0.10955146700143814,0.36855506896972656,0.2399064302444458,0.10186649113893509,-0.07117559909820556,0.3921847999095916,0.7609410056583022,0.7765000986188633,0.015559092960561247
v1_human,shuffled_train_triplets,370800,0.5331283710895361,0.07496494066882417,0.46687162891046385,0.010182039812207222,0.00846986472606659,0.28775036334991455,0.2775683104991913,0.19652438163757324,-0.21326421871781348,0.23876453116536128,0.7609435908539978,0.7764981740458908,0.015554583191892903
v1_shuffled,real_train_triplets,370800,0.8328505933117584,0.27192286947141314,0.16714940668824163,0.1280246078968048,0.10892205685377121,0.36841824650764465,0.24039365351200104,0.10227076709270477,-0.07155329957604407,0.3912812203168869,0.7609410056583022,0.7765000986188633,0.015559092960561247
v1_shuffled,shuffled_train_triplets,370800,0.5330987055016181,0.0746143473570658,0.4669012944983819,0.010166834108531475,0.008461818099021912,0.28798675537109375,0.2778199017047882,0.19649602472782135,-0.21283621490001678,0.23825362175703044,0.7609435908539978,0.7764981740458908,0.015554583191892903
v2_1200,real_train_triplets,370800,0.8399568500539374,0.2858522114347357,0.1600431499460626,0.13364113867282867,0.11319120228290558,0.3623465299606323,0.22870542109012604,0.09954117238521576,-0.06937936842441558,0.4039204686880111,0.7609410056583022,0.7765000986188633,0.015559092960561247
v2_1200,shuffled_train_triplets,370800,0.5335059331175837,0.07913700107874864,0.46649406688241635,0.010535285808146,0.008585698902606964,0.27831536531448364,0.26778003573417664,0.19678503274917603,-0.21901880726218223,0.24557143375277518,0.7609435908539978,0.7764981740458908,0.015554583191892903
v3_human,real_train_triplets,370800,0.8662243797195254,0.323042071197411,0.13377562028047463,0.1494363397359848,0.12997165322303772,0.36745402216911316,0.21801777184009552,0.0894569680094719,-0.05938486009836197,0.42406940907239904,0.7609410056583022,0.7765000986188633,0.015559092960561247
v3_human,shuffled_train_triplets,370800,0.5332659115426106,0.08671251348435814,0.4667340884573894,0.010806843638420105,0.008960768580436707,0.27386385202407837,0.26305702328681946,0.19750773906707764,-0.2301657646894455,0.25650839209556575,0.7609435908539978,0.7764981740458908,0.015554583191892903
